review_id,drug_name,condition,rating,signal_category,review_year,behavioral_cluster,cluster_name,umap_x,umap_y
869,Methylin ER,ADHD,9,other_sud,2016,7,Cluster 7,9.829932,10.066761
2884,Dextromethorphan / quinidine,Pseudobulbar Affect,3,other_sud,2016,-1,Noise / Unclassified,7.9529543,5.0846825
2888,Dextromethorphan / quinidine,Pseudobulbar Affect,10,other_sud,2014,20,Cluster 20,8.652052,1.0055
2893,Dextromethorphan / quinidine,Pseudobulbar Affect,10,other_sud,2011,-1,Noise / Unclassified,8.550316,0.9080167
5692,Acetaminophen / dextromethorphan / pseudoephedrine,Cold Symptoms,8,other_sud,2009,18,Cluster 18,9.705376,6.273822
7431,Xanax,Panic Disorde,10,other_sud,2017,1,Cluster 1,4.1442795,4.080169
7443,Xanax,Anxiety,2,other_sud,2017,12,Cluster 12,5.8770823,5.891526
7448,Xanax,Anxiety,10,other_sud,2017,12,Cluster 12,5.8131275,6.022273
7463,Xanax,Anxiety,10,other_sud,2017,12,Cluster 12,6.5699434,5.4443207
7479,Xanax,Anxiety,8,other_sud,2017,11,Cluster 11,7.0532045,5.5401745
7482,Xanax,Panic Disorde,10,other_sud,2016,12,Cluster 12,5.859631,5.8974643
7485,Xanax,Anxiety,10,other_sud,2016,22,Cluster 22,8.389504,6.3978615
7489,Xanax,Panic Disorde,9,other_sud,2016,12,Cluster 12,5.816026,5.934719
7501,Xanax,Anxiety,10,other_sud,2016,12,Cluster 12,6.133317,5.8241796
7502,Xanax,Anxiety,10,other_sud,2016,12,Cluster 12,5.9599023,5.9616575
7513,Xanax,Anxiety,8,polysubstance,2017,12,Cluster 12,6.069751,5.7224994
7514,Xanax,Panic Disorde,10,other_sud,2017,22,Cluster 22,8.16723,6.5997896
7515,Xanax,Anxiety,10,other_sud,2017,12,Cluster 12,5.7904987,5.9908843
7516,Xanax,Anxiety,6,other_sud,2017,12,Cluster 12,5.765076,5.9354286
7524,Xanax,Anxiety,4,other_sud,2016,-1,Noise / Unclassified,8.239671,7.3887625
7525,Xanax,Anxiety,10,other_sud,2016,12,Cluster 12,5.79581,5.9890018
7530,Xanax,Panic Disorde,10,other_sud,2016,12,Cluster 12,6.303288,5.575883
7533,Xanax,Anxiety,10,other_sud,2016,12,Cluster 12,6.0975056,5.780449
7541,Xanax,Anxiety,7,other_sud,2016,12,Cluster 12,6.0809884,5.73457
7543,Xanax,Panic Disorde,10,other_sud,2016,12,Cluster 12,5.9900427,5.7718763
7546,Xanax,Anxiety,10,other_sud,2016,12,Cluster 12,6.0255346,5.849144
7555,Xanax,Panic Disorde,9,other_sud,2016,12,Cluster 12,5.8409147,5.969108
7561,Xanax,Anxiety,5,other_sud,2016,12,Cluster 12,5.84106,5.9956903
7566,Xanax,Depression,6,other_sud,2016,12,Cluster 12,6.0473595,5.649585
7568,Xanax,Anxiety,7,other_sud,2015,12,Cluster 12,6.2146797,5.6353874
7571,Xanax,Anxiety,1,withdrawal,2015,12,Cluster 12,5.8539553,5.9062476
7577,Xanax,Anxiety,1,other_sud,2015,12,Cluster 12,5.8319316,5.9827156
7582,Xanax,Anxiety,10,other_sud,2015,12,Cluster 12,5.766184,5.9353867
7589,Xanax,Anxiety,10,other_sud,2015,12,Cluster 12,5.731669,5.9927487
7590,Xanax,Anxiety,8,other_sud,2015,12,Cluster 12,5.8757033,6.0362086
7597,Xanax,Anxiety,10,other_sud,2015,12,Cluster 12,6.2597303,5.6354227
7598,Xanax,Anxiety,10,other_sud,2015,12,Cluster 12,6.592953,5.20452
7604,Xanax,Depression,9,other_sud,2015,12,Cluster 12,6.1901875,5.751461
7610,Xanax,Depression,10,other_sud,2016,12,Cluster 12,5.957067,5.885917
7611,Xanax,Anxiety,10,other_sud,2016,12,Cluster 12,6.017267,5.8756113
7617,Xanax,Anxiety,9,other_sud,2016,12,Cluster 12,5.7387567,5.9754267
7619,Xanax,Depression,10,other_sud,2016,12,Cluster 12,5.7974515,5.9959145
7623,Xanax,Anxiety,10,other_sud,2016,12,Cluster 12,5.759476,5.964378
7626,Xanax,Anxiety,9,other_sud,2016,12,Cluster 12,6.255681,5.704103
7631,Xanax,Panic Disorde,10,other_sud,2015,33,Cluster 33,8.79694,5.812932
7633,Xanax,Depression,10,polysubstance,2015,12,Cluster 12,5.928412,6.0476108
7634,Xanax,Anxiety,10,other_sud,2015,12,Cluster 12,5.845504,6.070093
7643,Xanax,Panic Disorde,10,other_sud,2015,12,Cluster 12,6.032163,5.913057
7646,Xanax,Panic Disorde,10,other_sud,2015,12,Cluster 12,6.4098043,5.325432
7652,Xanax,Anxiety,9,other_sud,2015,12,Cluster 12,6.282849,5.7870836
7663,Xanax,Anxiety,10,other_sud,2014,11,Cluster 11,7.0899596,5.329196
7668,Xanax,Anxiety,10,other_sud,2014,12,Cluster 12,6.1486263,5.6942244
7670,Xanax,Panic Disorde,10,other_sud,2014,11,Cluster 11,7.0421634,5.492143
7679,Xanax,Anxiety,10,other_sud,2014,12,Cluster 12,5.7845526,5.8961
7681,Xanax,Depression,9,other_sud,2015,12,Cluster 12,6.3376336,5.593137
7682,Xanax,Panic Disorde,10,other_sud,2015,11,Cluster 11,7.165743,5.3545823
7688,Xanax,Panic Disorde,8,other_sud,2015,12,Cluster 12,6.4356527,5.6239676
7689,Xanax,Anxiety,10,other_sud,2015,11,Cluster 11,7.57877,5.3326745
7690,Xanax,Depression,10,other_sud,2015,12,Cluster 12,5.7181187,5.9887843
7692,Xanax,Panic Disorde,9,other_sud,2014,12,Cluster 12,6.142289,5.5863776
7693,Xanax,Anxiety,9,other_sud,2014,29,Cluster 29,8.480881,4.1261234
7698,Xanax,Anxiety,9,other_sud,2014,12,Cluster 12,6.200717,5.913282
7699,Xanax,Depression,10,other_sud,2014,-1,Noise / Unclassified,7.973531,4.6630516
7700,Xanax,Anxiety,2,polysubstance,2014,-1,Noise / Unclassified,6.7073503,5.7908382
7710,Xanax,Anxiety,10,other_sud,2013,12,Cluster 12,6.250272,5.6098175
7713,Xanax,Panic Disorde,9,other_sud,2013,12,Cluster 12,6.4517555,5.5722165
7719,Xanax,Panic Disorde,9,other_sud,2013,12,Cluster 12,6.1774783,5.9989715
7723,Xanax,Panic Disorde,10,other_sud,2013,12,Cluster 12,5.838097,5.8454537
7724,Xanax,Anxiety,10,other_sud,2013,12,Cluster 12,6.5585012,5.451968
7728,Xanax,Anxiety,10,other_sud,2013,12,Cluster 12,5.966208,5.823298
7744,Xanax,Depression,10,other_sud,2013,12,Cluster 12,6.03931,5.8715024
7745,Xanax,Anxiety,9,other_sud,2013,12,Cluster 12,5.905059,5.9466267
7747,Xanax,Panic Disorde,10,other_sud,2013,12,Cluster 12,6.415026,5.377948
7751,Xanax,Anxiety,8,other_sud,2013,12,Cluster 12,5.7310195,5.955415
7753,Xanax,Anxiety,10,other_sud,2013,12,Cluster 12,6.4319606,5.5417867
7754,Xanax,Panic Disorde,10,other_sud,2013,32,Cluster 32,8.635841,5.09188
7756,Xanax,Depression,10,other_sud,2011,12,Cluster 12,5.8233457,6.017721
7765,Xanax,Anxiety,8,other_sud,2011,12,Cluster 12,6.0690584,5.9088745
7773,Xanax,Anxiety,10,other_sud,2011,29,Cluster 29,8.240254,4.0601325
7774,Xanax,Anxiety,10,other_sud,2011,12,Cluster 12,6.5547156,5.523609
7782,Xanax,Anxiety,9,other_sud,2011,12,Cluster 12,6.2087407,5.622679
7784,Xanax,Tinnitus,8,other_sud,2011,-1,Noise / Unclassified,10.034063,4.7750654
7788,Xanax,Panic Disorde,1,other_sud,2011,12,Cluster 12,6.2487807,5.6296163
7792,Xanax,Panic Disorde,10,other_sud,2011,11,Cluster 11,7.1759486,5.5338326
7793,Xanax,Depression,10,other_sud,2011,11,Cluster 11,7.4708652,5.353127
7797,Xanax,Anxiety,10,other_sud,2011,12,Cluster 12,6.0887423,5.7897053
7801,Xanax,Anxiety,8,other_sud,2011,-1,Noise / Unclassified,7.1166773,5.7083225
7802,Xanax,Anxiety,10,other_sud,2011,7,Cluster 7,10.157222,9.481331
7805,Xanax,Anxiety,10,other_sud,2010,11,Cluster 11,7.3749456,5.260642
7810,Xanax,Anxiety,10,other_sud,2010,11,Cluster 11,7.4118433,5.234775
7822,Xanax,Anxiety,9,other_sud,2010,12,Cluster 12,6.0831,6.061661
7827,Xanax,Anxiety,3,other_sud,2010,11,Cluster 11,6.8851013,5.5492115
7829,Xanax,Anxiety,9,other_sud,2010,12,Cluster 12,5.7396016,5.9934144
7835,Xanax,Depression,10,other_sud,2013,12,Cluster 12,5.96931,5.7828417
7836,Xanax,Anxiety,10,other_sud,2013,12,Cluster 12,5.8017845,5.9359593
7840,Xanax,Anxiety,10,other_sud,2013,12,Cluster 12,6.681045,5.4420886
7847,Xanax,Anxiety,10,other_sud,2013,12,Cluster 12,5.9799495,5.871171
7849,Xanax,Anxiety,10,other_sud,2012,12,Cluster 12,6.6025233,5.373566
7852,Xanax,Depression,3,other_sud,2012,-1,Noise / Unclassified,7.589841,5.1749187
7855,Xanax,Anxiety,10,other_sud,2011,12,Cluster 12,5.8316784,5.880165
7864,Xanax,Depression,10,other_sud,2011,12,Cluster 12,5.8323107,5.941529
7867,Xanax,Depression,6,other_sud,2011,12,Cluster 12,6.144351,5.660184
7868,Xanax,Anxiety,10,other_sud,2011,12,Cluster 12,6.5208726,5.5500197
7873,Xanax,Anxiety,9,other_sud,2011,12,Cluster 12,6.225471,5.564041
7882,Xanax,Panic Disorde,10,other_sud,2012,12,Cluster 12,5.9224052,5.946355
7885,Xanax,Anxiety,10,other_sud,2012,11,Cluster 11,7.0900297,5.427411
7888,Xanax,Anxiety,9,other_sud,2012,12,Cluster 12,5.953305,5.843661
7889,Xanax,Anxiety,10,other_sud,2012,32,Cluster 32,8.254304,5.664024
7893,Xanax,Anxiety,9,other_sud,2012,12,Cluster 12,5.921295,5.94106
7897,Xanax,Anxiety,10,other_sud,2012,12,Cluster 12,5.880556,5.9806476
7910,Xanax,Anxiety,9,other_sud,2009,12,Cluster 12,6.73205,5.451655
7917,Xanax,Anxiety,8,other_sud,2009,-1,Noise / Unclassified,7.886529,4.4249325
7920,Xanax,Panic Disorde,8,other_sud,2009,12,Cluster 12,6.362239,5.5638223
7921,Xanax,Anxiety,9,other_sud,2009,11,Cluster 11,7.0593724,5.5468397
7922,Xanax,Anxiety,9,other_sud,2009,11,Cluster 11,6.9789295,5.4658804
7924,Xanax,Depression,10,other_sud,2009,12,Cluster 12,6.161215,5.5896835
7931,Xanax,Depression,10,other_sud,2012,12,Cluster 12,6.018513,5.7018547
7936,Xanax,Panic Disorde,10,other_sud,2012,12,Cluster 12,5.730484,5.966005
7948,Xanax,Anxiety,9,other_sud,2012,11,Cluster 11,7.283049,5.264832
7951,Xanax,Anxiety,7,other_sud,2012,32,Cluster 32,8.582163,4.9432583
7953,Xanax,Anxiety,9,other_sud,2012,12,Cluster 12,6.477892,5.5314903
7954,Xanax,Anxiety,9,other_sud,2012,12,Cluster 12,6.149804,5.801314
7957,Xanax,Panic Disorde,10,other_sud,2010,12,Cluster 12,5.8207364,5.9308734
7960,Xanax,Depression,9,other_sud,2010,12,Cluster 12,6.193687,5.727549
7968,Xanax,Anxiety,10,other_sud,2010,12,Cluster 12,5.9684477,5.9452896
7969,Xanax,Anxiety,10,other_sud,2010,12,Cluster 12,6.5654116,5.499621
7971,Xanax,Panic Disorde,7,other_sud,2010,12,Cluster 12,5.810828,5.9879546
7976,Xanax,Anxiety,10,other_sud,2009,12,Cluster 12,5.863296,5.949398
7977,Xanax,Panic Disorde,10,other_sud,2009,12,Cluster 12,6.4019475,5.5121627
7991,Xanax,Anxiety,9,polysubstance,2009,12,Cluster 12,6.6300306,5.4255095
7992,Xanax,Anxiety,10,other_sud,2009,12,Cluster 12,6.420216,5.5418005
7993,Xanax,Panic Disorde,10,other_sud,2009,12,Cluster 12,5.7315025,6.055786
7996,Xanax,Anxiety,10,other_sud,2009,12,Cluster 12,6.069696,5.822781
7998,Xanax,Panic Disorde,10,other_sud,2009,12,Cluster 12,6.4644213,5.476249
8012,Xanax,Panic Disorde,9,other_sud,2009,12,Cluster 12,5.827688,5.972314
8022,Xanax,Anxiety,10,other_sud,2009,-1,Noise / Unclassified,6.6941814,6.008381
8026,Xanax,Anxiety,10,withdrawal,2009,-1,Noise / Unclassified,6.573613,5.8908057
8028,Xanax,Panic Disorde,10,other_sud,2009,12,Cluster 12,6.247289,5.6975126
8029,Xanax,Anxiety,10,other_sud,2009,12,Cluster 12,6.3841114,5.56099
8036,Xanax,Panic Disorde,10,other_sud,2008,12,Cluster 12,6.404945,5.579121
8086,Xanax,Depression,10,other_sud,2008,-1,Noise / Unclassified,7.949324,4.714079
8090,Xanax,Panic Disorde,10,other_sud,2008,12,Cluster 12,6.376406,5.530478
8095,Xanax,Panic Disorde,7,other_sud,2008,12,Cluster 12,6.150176,5.990522
8097,Xanax,Anxiety,10,other_sud,2008,12,Cluster 12,6.59394,5.409007
13219,Amphetamine / dextroamphetamine,ADHD,1,other_sud,2017,7,Cluster 7,9.607053,10.236061
13230,Amphetamine / dextroamphetamine,ADHD,1,other_sud,2017,7,Cluster 7,9.41007,10.225647
13231,Amphetamine / dextroamphetamine,ADHD,4,other_sud,2017,-1,Noise / Unclassified,8.857925,8.947342
13247,Amphetamine / dextroamphetamine,ADHD,2,other_sud,2017,22,Cluster 22,8.131319,6.178552
13248,Amphetamine / dextroamphetamine,ADHD,1,other_sud,2017,7,Cluster 7,9.417116,10.232648
13255,Amphetamine / dextroamphetamine,ADHD,8,other_sud,2017,7,Cluster 7,9.474784,10.324284
13265,Amphetamine / dextroamphetamine,Narcolepsy,8,other_sud,2017,7,Cluster 7,9.417885,10.240312
13266,Amphetamine / dextroamphetamine,ADHD,3,other_sud,2017,7,Cluster 7,9.54821,10.331019
13268,Amphetamine / dextroamphetamine,ADHD,1,other_sud,2017,7,Cluster 7,9.679288,10.337101
13273,Amphetamine / dextroamphetamine,ADHD,5,other_sud,2017,32,Cluster 32,8.295372,5.578459
13274,Amphetamine / dextroamphetamine,ADHD,9,other_sud,2017,7,Cluster 7,9.786247,9.979675
13275,Amphetamine / dextroamphetamine,ADHD,9,other_sud,2017,7,Cluster 7,9.545435,10.181565
13278,Amphetamine / dextroamphetamine,ADHD,10,withdrawal,2017,7,Cluster 7,9.621202,10.250979
13280,Amphetamine / dextroamphetamine,ADHD,9,other_sud,2017,7,Cluster 7,9.476861,10.249824
13283,Amphetamine / dextroamphetamine,ADHD,10,other_sud,2017,7,Cluster 7,9.105386,10.002773
13284,Amphetamine / dextroamphetamine,ADHD,8,other_sud,2017,7,Cluster 7,9.372501,9.475637
13290,Amphetamine / dextroamphetamine,ADHD,8,other_sud,2017,-1,Noise / Unclassified,8.095677,5.928154
13291,Amphetamine / dextroamphetamine,atigue,10,other_sud,2017,7,Cluster 7,9.477469,10.171414
13292,Amphetamine / dextroamphetamine,ADHD,10,other_sud,2017,7,Cluster 7,9.634061,9.566871
13297,Amphetamine / dextroamphetamine,ADHD,8,other_sud,2017,7,Cluster 7,9.660656,9.63492
13300,Amphetamine / dextroamphetamine,ADHD,10,other_sud,2017,29,Cluster 29,8.209303,4.156533
13310,Amphetamine / dextroamphetamine,ADHD,1,other_sud,2016,7,Cluster 7,9.35982,10.121188
13311,Amphetamine / dextroamphetamine,atigue,10,other_sud,2016,7,Cluster 7,9.537351,10.132543
13314,Amphetamine / dextroamphetamine,ADHD,5,other_sud,2016,-1,Noise / Unclassified,8.897339,8.947253
13320,Amphetamine / dextroamphetamine,ADHD,10,other_sud,2016,-1,Noise / Unclassified,7.0669084,6.2769036
13323,Amphetamine / dextroamphetamine,ADHD,9,other_sud,2016,35,Cluster 35,9.709725,3.4506917
13328,Amphetamine / dextroamphetamine,ADHD,6,other_sud,2016,7,Cluster 7,9.47802,9.261789
13329,Amphetamine / dextroamphetamine,,8,other_sud,2016,32,Cluster 32,8.337977,5.4971695
13330,Amphetamine / dextroamphetamine,ADHD,9,other_sud,2016,7,Cluster 7,9.896623,10.014398
13335,Amphetamine / dextroamphetamine,ADHD,7,other_sud,2016,-1,Noise / Unclassified,8.503693,8.898205
13338,Amphetamine / dextroamphetamine,ADHD,1,other_sud,2016,7,Cluster 7,9.372421,10.199277
13345,Amphetamine / dextroamphetamine,ADHD,5,other_sud,2016,-1,Noise / Unclassified,8.220705,6.019641
13354,Amphetamine / dextroamphetamine,ADHD,10,other_sud,2016,7,Cluster 7,9.812276,9.791693
13358,Amphetamine / dextroamphetamine,ADHD,3,other_sud,2016,7,Cluster 7,9.717646,10.212233
13359,Amphetamine / dextroamphetamine,ADHD,9,other_sud,2016,7,Cluster 7,9.360362,10.255338
13368,Amphetamine / dextroamphetamine,atigue,10,other_sud,2016,7,Cluster 7,8.944519,9.85657
13369,Amphetamine / dextroamphetamine,ADHD,10,other_sud,2016,7,Cluster 7,9.886507,10.250428
13390,Amphetamine / dextroamphetamine,ADHD,8,other_sud,2015,7,Cluster 7,9.217522,9.514104
13402,Amphetamine / dextroamphetamine,Narcolepsy,10,other_sud,2015,7,Cluster 7,10.323424,10.368302
13406,Amphetamine / dextroamphetamine,ADHD,9,other_sud,2015,7,Cluster 7,9.791667,9.953801
13407,Amphetamine / dextroamphetamine,ADHD,2,other_sud,2015,7,Cluster 7,9.671927,10.061025
13409,Amphetamine / dextroamphetamine,Narcolepsy,10,other_sud,2015,7,Cluster 7,9.428787,10.343251
13412,Amphetamine / dextroamphetamine,Narcolepsy,9,other_sud,2014,7,Cluster 7,9.587038,10.355921
13417,Amphetamine / dextroamphetamine,ADHD,10,other_sud,2014,7,Cluster 7,9.941102,10.143857
13422,Amphetamine / dextroamphetamine,ADHD,9,other_sud,2014,-1,Noise / Unclassified,8.785621,7.3952613
13441,Amphetamine / dextroamphetamine,ADHD,7,other_sud,2015,30,Cluster 30,9.384402,4.6146235
13445,Amphetamine / dextroamphetamine,atigue,9,other_sud,2015,7,Cluster 7,9.859653,10.490283
